TRANSACTION_DATE,STORE_LOCATION,MONTH_NAME,HOUR_,NUMBER_OF_SALES,REVENUE,PERIOD_IN_DAY
2023-06-20,Hell's Kitchen,Jun,8,94,428.40,Morning
2023-06-07,Hell's Kitchen,Jun,10,88,419.70,Morning
2023-06-19,Astoria,Jun,9,85,417.85,Morning
2023-05-20,Astoria,May,8,82,417.50,Morning
2023-06-27,Hell's Kitchen,Jun,10,99,415.45,Morning
2023-05-27,Hell's Kitchen,May,10,92,413.95,Morning
2023-06-27,Lower Manhattan,Jun,10,77,413.80,Morning
2023-05-19,Astoria,May,10,82,412.70,Morning
2023-06-21,Astoria,Jun,9,77,405.10,Morning
2023-05-27,Lower Manhattan,May,10,74,403.30,Morning
2023-06-08,Lower Manhattan,Jun,10,81,402.75,Morning
2023-06-08,Lower Manhattan,Jun,8,75,402.45,Morning
2023-04-13,Hell's Kitchen,Apr,10,77,396.50,Morning
2023-05-20,Hell's Kitchen,May,10,82,393.15,Morning
2023-06-20,Hell's Kitchen,Jun,10,82,390.75,Morning
2023-06-27,Lower Manhattan,Jun,9,73,387.05,Morning
2023-05-21,Hell's Kitchen,May,8,72,383.53,Morning
2023-04-13,Hell's Kitchen,Apr,8,77,382.00,Morning
2023-05-19,Astoria,May,9,79,381.45,Morning
2023-05-15,Astoria,May,10,81,381.40,Morning
2023-04-14,Hell's Kitchen,Apr,10,71,381.30,Morning
2023-06-15,Astoria,Jun,10,83,378.85,Morning
2023-05-21,Astoria,May,9,61,378.53,Morning
2023-06-27,Hell's Kitchen,Jun,9,97,378.10,Morning
2023-05-09,Lower Manhattan,May,10,72,378.06,Morning
2023-05-17,Astoria,May,7,81,378.05,Morning
2023-06-15,Astoria,Jun,8,69,377.03,Morning
2023-06-12,Hell's Kitchen,Jun,9,61,374.45,Morning
2023-05-27,Lower Manhattan,May,7,64,373.95,Morning
2023-05-08,Lower Manhattan,May,10,77,373.15,Morning
2023-06-21,Lower Manhattan,Jun,7,64,370.65,Morning
2023-06-27,Lower Manhattan,Jun,7,62,369.00,Morning
2023-06-25,Lower Manhattan,Jun,8,57,368.75,Morning
2023-05-21,Hell's Kitchen,May,9,85,367.60,Morning
2023-05-08,Lower Manhattan,May,8,76,366.45,Morning
2023-01-13,Hell's Kitchen,Jan,8,70,365.35,Morning
2023-05-07,Hell's Kitchen,May,10,78,364.60,Morning
2023-05-15,Astoria,May,9,79,364.10,Morning
2023-05-18,Astoria,May,10,78,363.00,Morning
2023-06-12,Lower Manhattan,Jun,10,77,362.50,Morning
2023-06-20,Lower Manhattan,Jun,10,72,361.25,Morning
2023-05-22,Lower Manhattan,May,10,58,361.20,Morning
2023-06-20,Lower Manhattan,Jun,7,76,359.60,Morning
2023-05-19,Hell's Kitchen,May,7,75,358.90,Morning
2023-05-30,Lower Manhattan,May,9,52,358.40,Morning
2023-05-27,Hell's Kitchen,May,9,94,357.05,Morning
2023-04-09,Lower Manhattan,Apr,10,56,357.03,Morning
2023-06-16,Astoria,Jun,7,76,356.75,Morning
2023-04-17,Astoria,Apr,10,70,356.70,Morning
2023-06-13,Lower Manhattan,Jun,8,68,355.90,Morning
2023-06-19,Hell's Kitchen,Jun,7,68,353.95,Morning
2023-06-16,Hell's Kitchen,Jun,7,79,353.00,Morning
2023-03-21,Hell's Kitchen,Mar,8,75,352.05,Morning
2023-05-20,Lower Manhattan,May,7,73,351.50,Morning
2023-03-14,Hell's Kitchen,Mar,9,62,350.50,Morning
2023-05-15,Astoria,May,8,73,349.63,Morning
2023-05-21,Lower Manhattan,May,7,55,348.65,Morning
2023-06-19,Astoria,Jun,8,73,346.90,Morning
2023-06-18,Hell's Kitchen,Jun,8,73,344.55,Morning
2023-06-11,Hell's Kitchen,Jun,8,77,342.70,Morning
2023-05-19,Astoria,May,8,68,342.15,Morning
2023-06-20,Hell's Kitchen,Jun,9,74,341.70,Morning
2023-04-27,Lower Manhattan,Apr,10,58,341.60,Morning
2023-05-20,Hell's Kitchen,May,9,76,341.20,Morning
2023-05-17,Astoria,May,10,72,339.45,Morning
2023-05-22,Lower Manhattan,May,8,53,338.75,Morning
2023-04-19,Astoria,Apr,9,67,338.70,Morning
2023-03-14,Hell's Kitchen,Mar,8,72,337.28,Morning
2023-06-18,Hell's Kitchen,Jun,10,64,336.60,Morning
2023-05-26,Lower Manhattan,May,6,52,336.40,Morning
2023-06-15,Hell's Kitchen,Jun,7,68,335.90,Morning
2023-06-16,Astoria,Jun,10,77,335.55,Morning
2023-06-07,Hell's Kitchen,Jun,8,80,334.85,Morning
2023-06-17,Astoria,Jun,7,78,334.85,Morning
2023-04-14,Hell's Kitchen,Apr,8,73,333.93,Morning
2023-02-14,Hell's Kitchen,Feb,8,71,333.25,Morning
2023-04-20,Hell's Kitchen,Apr,8,72,333.10,Morning
2023-06-09,Hell's Kitchen,Jun,9,72,332.85,Morning
2023-04-13,Hell's Kitchen,Apr,9,68,332.00,Morning
2023-05-14,Astoria,May,9,64,331.85,Morning
2023-05-21,Lower Manhattan,May,9,59,331.20,Morning
2023-05-09,Lower Manhattan,May,9,69,331.18,Morning
2023-05-09,Hell's Kitchen,May,10,66,330.25,Morning
2023-04-19,Astoria,Apr,8,64,330.23,Morning
2023-06-13,Lower Manhattan,Jun,7,71,328.05,Morning
2023-06-07,Lower Manhattan,Jun,10,77,328.00,Morning
2023-05-25,Lower Manhattan,May,8,47,327.75,Morning
2023-06-27,Lower Manhattan,Jun,8,61,327.60,Morning
2023-06-30,Lower Manhattan,Jun,9,56,326.60,Morning
2023-06-24,Lower Manhattan,Jun,10,60,326.05,Morning
2023-06-07,Hell's Kitchen,Jun,9,68,323.95,Morning
2023-03-17,Astoria,Mar,10,66,323.65,Morning
2023-06-14,Lower Manhattan,Jun,10,77,322.13,Morning
2023-05-21,Astoria,May,8,66,321.75,Morning
2023-03-13,Hell's Kitchen,Mar,10,59,320.50,Morning
2023-05-12,Hell's Kitchen,May,9,57,319.45,Morning
2023-05-14,Hell's Kitchen,May,10,74,319.25,Morning
2023-06-14,Astoria,Jun,8,65,318.75,Morning
2023-05-30,Hell's Kitchen,May,9,65,318.50,Morning
2023-06-21,Lower Manhattan,Jun,10,57,317.85,Morning
2023-04-08,Lower Manhattan,Apr,10,57,317.35,Morning
2023-03-09,Lower Manhattan,Mar,10,56,316.29,Morning
2023-05-11,Hell's Kitchen,May,10,65,315.85,Morning
2023-05-16,Astoria,May,10,74,315.70,Morning
2023-06-16,Astoria,Jun,9,74,315.40,Morning
2023-05-07,Hell's Kitchen,May,9,66,315.35,Morning
2023-06-23,Lower Manhattan,Jun,10,59,314.93,Morning
2023-05-16,Hell's Kitchen,May,10,64,314.85,Morning
2023-06-14,Astoria,Jun,9,57,314.05,Morning
2023-06-26,Lower Manhattan,Jun,6,50,313.30,Morning
2023-03-13,Hell's Kitchen,Mar,8,59,310.70,Morning
2023-06-22,Lower Manhattan,Jun,8,52,310.50,Morning
2023-05-10,Astoria,May,8,67,310.10,Morning
2023-06-30,Lower Manhattan,Jun,10,57,310.10,Morning
2023-06-26,Lower Manhattan,Jun,9,54,309.85,Morning
2023-05-16,Astoria,May,7,73,309.55,Morning
2023-06-20,Astoria,Jun,8,83,309.30,Morning
2023-06-09,Lower Manhattan,Jun,8,51,308.70,Morning
2023-05-07,Hell's Kitchen,May,8,72,308.45,Morning
2023-06-10,Lower Manhattan,Jun,9,61,308.00,Morning
2023-05-16,Hell's Kitchen,May,7,65,307.10,Morning
2023-06-23,Hell's Kitchen,Jun,9,59,307.05,Morning
2023-04-15,Astoria,Apr,9,58,307.00,Morning
2023-05-18,Hell's Kitchen,May,10,67,306.55,Morning
2023-05-19,Hell's Kitchen,May,10,57,306.35,Morning
2023-05-08,Lower Manhattan,May,9,63,306.05,Morning
2023-05-27,Lower Manhattan,May,9,60,305.80,Morning
2023-06-14,Lower Manhattan,Jun,8,67,305.05,Morning
2023-05-31,Hell's Kitchen,May,10,64,304.30,Morning
2023-06-19,Hell's Kitchen,Jun,8,68,304.25,Morning
2023-06-30,Hell's Kitchen,Jun,10,60,303.38,Morning
2023-06-19,Astoria,Jun,7,56,302.93,Morning
2023-05-16,Astoria,May,8,60,301.35,Morning
2023-06-03,Astoria,Jun,11,63,300.75,Morning
2023-05-26,Lower Manhattan,May,9,53,300.50,Morning
2023-05-18,Hell's Kitchen,May,9,63,300.28,Morning
2023-02-13,Hell's Kitchen,Feb,8,64,299.55,Morning
2023-05-13,Lower Manhattan,May,7,64,299.25,Morning
2023-05-23,Hell's Kitchen,May,9,55,298.80,Morning
2023-06-14,Astoria,Jun,10,59,298.65,Morning
2023-06-17,Astoria,Jun,9,58,298.65,Morning
2023-03-19,Astoria,Mar,10,54,297.70,Morning
2023-05-20,Lower Manhattan,May,10,57,296.95,Morning
2023-03-15,Astoria,Mar,9,61,296.85,Morning
2023-01-21,Hell's Kitchen,Jan,8,55,296.45,Morning
2023-06-11,Astoria,Jun,9,61,296.00,Morning
2023-05-17,Astoria,May,9,55,295.75,Morning
2023-06-30,Astoria,Jun,10,66,295.15,Morning
2023-06-13,Lower Manhattan,Jun,9,63,295.03,Morning
2023-01-14,Hell's Kitchen,Jan,8,62,294.33,Morning
2023-04-21,Lower Manhattan,Apr,7,54,294.25,Morning
2023-06-16,Lower Manhattan,Jun,8,58,294.18,Morning
2023-06-15,Lower Manhattan,Jun,10,65,294.05,Morning
2023-05-18,Astoria,May,7,60,293.38,Morning
2023-05-22,Lower Manhattan,May,7,48,293.08,Morning
2023-06-10,Hell's Kitchen,Jun,10,67,292.95,Morning
2023-06-11,Hell's Kitchen,Jun,10,60,292.85,Morning
2023-06-05,Astoria,Jun,12,65,292.50,Afternoon
2023-04-07,Hell's Kitchen,Apr,10,59,292.40,Morning
2023-04-08,Lower Manhattan,Apr,9,51,292.05,Morning
2023-06-09,Hell's Kitchen,Jun,10,64,291.95,Morning
2023-06-19,Hell's Kitchen,Jun,10,52,291.65,Morning
2023-06-16,Hell's Kitchen,Jun,10,60,291.35,Morning
2023-06-25,Lower Manhattan,Jun,7,55,291.30,Morning
2023-06-08,Hell's Kitchen,Jun,9,51,291.23,Morning
2023-05-14,Lower Manhattan,May,9,63,291.05,Morning
2023-04-22,Lower Manhattan,Apr,10,45,289.90,Morning
2023-04-20,Astoria,Apr,8,60,289.85,Morning
2023-04-27,Hell's Kitchen,Apr,10,65,289.80,Morning
2023-05-31,Lower Manhattan,May,10,54,289.75,Morning
2023-05-14,Astoria,May,10,57,289.60,Morning
2023-06-15,Astoria,Jun,7,57,289.23,Morning
2023-05-09,Hell's Kitchen,May,9,61,288.10,Morning
2023-06-18,Astoria,Jun,7,65,286.95,Morning
2023-03-20,Astoria,Mar,8,61,286.65,Morning
2023-06-18,Hell's Kitchen,Jun,9,58,286.58,Morning
2023-06-20,Astoria,Jun,9,78,286.50,Morning
2023-06-21,Astoria,Jun,10,64,285.90,Morning
2023-01-07,Hell's Kitchen,Jan,10,56,285.85,Morning
2023-05-18,Hell's Kitchen,May,8,58,285.75,Morning
2023-05-09,Hell's Kitchen,May,7,68,285.60,Morning
2023-06-10,Lower Manhattan,Jun,8,55,285.60,Morning
2023-05-13,Lower Manhattan,May,8,59,285.10,Morning
2023-06-10,Astoria,Jun,9,68,284.70,Morning
2023-04-22,Lower Manhattan,Apr,8,45,284.50,Morning
2023-05-30,Lower Manhattan,May,8,51,284.33,Morning
2023-04-07,Lower Manhattan,Apr,9,42,283.20,Morning
2023-05-14,Lower Manhattan,May,10,65,283.18,Morning
2023-06-25,Lower Manhattan,Jun,9,52,283.00,Morning
2023-04-27,Hell's Kitchen,Apr,9,70,282.55,Morning
2023-06-13,Lower Manhattan,Jun,10,64,282.23,Morning
2023-06-08,Lower Manhattan,Jun,9,57,282.05,Morning
2023-05-20,Lower Manhattan,May,9,55,281.25,Morning
2023-06-20,Lower Manhattan,Jun,8,51,281.23,Morning
2023-06-08,Hell's Kitchen,Jun,7,59,280.85,Morning
2023-05-07,Lower Manhattan,May,7,60,280.70,Morning
2023-04-21,Astoria,Apr,9,54,279.98,Morning
2023-03-17,Astoria,Mar,9,41,278.90,Morning
2023-06-10,Hell's Kitchen,Jun,9,61,278.40,Morning
2023-06-18,Hell's Kitchen,Jun,7,67,278.00,Morning
2023-05-07,Lower Manhattan,May,10,60,277.80,Morning
2023-05-19,Astoria,May,7,59,277.55,Morning
2023-05-15,Hell's Kitchen,May,7,55,277.55,Morning
2023-05-25,Lower Manhattan,May,6,48,277.45,Morning
2023-05-10,Astoria,May,10,61,277.00,Morning
2023-04-16,Astoria,Apr,10,67,276.45,Morning
2023-05-20,Lower Manhattan,May,8,55,276.05,Morning
2023-05-24,Lower Manhattan,May,8,51,275.65,Morning
2023-04-27,Lower Manhattan,Apr,9,51,274.45,Morning
2023-04-07,Hell's Kitchen,Apr,9,55,274.15,Morning
2023-05-24,Lower Manhattan,May,10,49,273.65,Morning
2023-04-20,Lower Manhattan,Apr,10,56,273.55,Morning
2023-05-23,Lower Manhattan,May,10,49,272.80,Morning
2023-05-10,Hell's Kitchen,May,7,55,272.60,Morning
2023-01-17,Astoria,Jan,7,44,272.30,Morning
2023-04-21,Hell's Kitchen,Apr,9,61,272.10,Morning
2023-05-09,Lower Manhattan,May,8,50,272.10,Morning
2023-05-25,Lower Manhattan,May,10,46,272.05,Morning
2023-03-09,Lower Manhattan,Mar,9,37,271.86,Morning
2023-04-20,Lower Manhattan,Apr,7,52,271.05,Morning
2023-06-14,Lower Manhattan,Jun,9,62,270.80,Morning
2023-06-22,Lower Manhattan,Jun,6,58,270.75,Morning
2023-05-02,Astoria,May,13,60,270.75,Afternoon
2023-04-16,Hell's Kitchen,Apr,7,56,270.40,Morning
2023-02-15,Astoria,Feb,9,53,270.05,Morning
2023-05-08,Hell's Kitchen,May,9,52,269.05,Morning
2023-03-19,Astoria,Mar,9,51,268.90,Morning
2023-02-21,Hell's Kitchen,Feb,10,56,268.80,Morning
2023-03-22,Lower Manhattan,Mar,8,31,268.20,Morning
2023-06-04,Astoria,Jun,12,64,268.00,Afternoon
2023-06-22,Lower Manhattan,Jun,10,47,267.95,Morning
2023-05-20,Astoria,May,9,70,267.85,Morning
2023-06-16,Astoria,Jun,8,61,267.70,Morning
2023-06-24,Lower Manhattan,Jun,6,45,267.55,Morning
2023-05-27,Hell's Kitchen,May,8,70,266.85,Morning
2023-02-20,Hell's Kitchen,Feb,8,49,266.55,Morning
2023-06-30,Hell's Kitchen,Jun,9,62,266.35,Morning
2023-01-13,Hell's Kitchen,Jan,9,55,266.35,Morning
2023-05-16,Astoria,May,9,64,265.25,Morning
2023-06-27,Hell's Kitchen,Jun,8,71,265.10,Morning
2023-06-11,Astoria,Jun,8,52,265.05,Morning
2023-06-07,Lower Manhattan,Jun,8,60,264.90,Morning
2023-05-25,Hell's Kitchen,May,8,46,264.85,Morning
2023-04-14,Astoria,Apr,9,50,264.43,Morning
2023-06-07,Lower Manhattan,Jun,7,56,264.30,Morning
2023-05-16,Lower Manhattan,May,8,46,264.20,Morning
2023-05-04,Astoria,May,12,63,264.15,Afternoon
2023-06-17,Lower Manhattan,Jun,6,56,264.10,Morning
2023-06-07,Lower Manhattan,Jun,9,45,264.05,Morning
2023-06-18,Astoria,Jun,9,64,264.05,Morning
2023-06-09,Astoria,Jun,7,58,264.00,Morning
2023-06-05,Astoria,Jun,13,64,263.85,Afternoon
2023-05-25,Lower Manhattan,May,9,50,263.55,Morning
2023-03-21,Hell's Kitchen,Mar,10,54,262.85,Morning
2023-06-12,Hell's Kitchen,Jun,10,57,262.80,Morning
2023-05-23,Lower Manhattan,May,6,45,262.65,Morning
2023-06-26,Lower Manhattan,Jun,8,51,262.30,Morning
2023-06-24,Lower Manhattan,Jun,8,48,262.00,Morning
2023-06-21,Astoria,Jun,8,60,261.80,Morning
2023-04-10,Lower Manhattan,Apr,8,49,261.75,Morning
2023-06-01,Astoria,Jun,15,55,260.75,Afternoon
2023-04-17,Astoria,Apr,7,59,260.70,Morning
2023-06-10,Astoria,Jun,7,59,260.15,Morning
2023-06-10,Astoria,Jun,10,58,260.05,Morning
2023-05-30,Lower Manhattan,May,7,49,259.70,Morning
2023-06-02,Astoria,Jun,13,56,259.55,Afternoon
2023-06-12,Lower Manhattan,Jun,7,58,259.50,Morning
2023-06-23,Lower Manhattan,Jun,7,45,259.45,Morning
2023-05-17,Lower Manhattan,May,6,52,259.25,Morning
2023-05-21,Astoria,May,10,48,258.70,Morning
2023-05-16,Lower Manhattan,May,9,57,257.50,Morning
2023-06-30,Lower Manhattan,Jun,7,51,257.36,Morning
2023-01-14,Hell's Kitchen,Jan,9,58,257.30,Morning
2023-05-10,Hell's Kitchen,May,9,55,257.25,Morning
2023-02-12,Hell's Kitchen,Feb,9,37,257.25,Morning
2023-04-19,Astoria,Apr,10,55,257.15,Morning
2023-04-25,Lower Manhattan,Apr,10,42,257.00,Morning
2023-06-23,Hell's Kitchen,Jun,8,48,256.95,Morning
2023-06-13,Astoria,Jun,7,61,256.90,Morning
2023-05-30,Hell's Kitchen,May,10,54,256.80,Morning
2023-06-26,Lower Manhattan,Jun,7,46,256.65,Morning
2023-05-03,Astoria,May,11,52,256.30,Morning
2023-05-17,Lower Manhattan,May,7,59,255.30,Morning
2023-05-14,Lower Manhattan,May,8,59,255.10,Morning
2023-06-03,Astoria,Jun,19,59,254.90,Evening
2023-06-30,Astoria,Jun,8,58,254.80,Morning
2023-03-13,Hell's Kitchen,Mar,9,46,254.50,Morning
2023-05-18,Astoria,May,9,60,254.20,Morning
2023-06-14,Lower Manhattan,Jun,7,55,254.03,Morning
2023-06-21,Lower Manhattan,Jun,9,46,253.65,Morning
2023-04-11,Hell's Kitchen,Apr,10,48,253.60,Morning
2023-02-14,Hell's Kitchen,Feb,9,64,253.25,Morning
2023-06-10,Astoria,Jun,8,56,252.85,Morning
2023-03-18,Astoria,Mar,10,54,252.50,Morning
2023-05-08,Astoria,May,13,45,252.30,Afternoon
2023-06-30,Hell's Kitchen,Jun,8,57,251.50,Morning
2023-04-20,Hell's Kitchen,Apr,10,58,250.80,Morning
2023-01-15,Astoria,Jan,10,56,248.75,Morning
2023-04-08,Lower Manhattan,Apr,8,53,248.65,Morning
2023-01-27,Hell's Kitchen,Jan,10,54,248.00,Morning
2023-06-22,Lower Manhattan,Jun,7,44,247.55,Morning
2023-05-23,Lower Manhattan,May,7,42,247.45,Morning
2023-06-25,Lower Manhattan,Jun,6,45,247.35,Morning
2023-06-16,Hell's Kitchen,Jun,8,53,247.15,Morning
2023-01-14,Hell's Kitchen,Jan,10,44,247.05,Morning
2023-04-15,Astoria,Apr,7,52,246.63,Morning
2023-05-31,Astoria,May,8,49,246.23,Morning
2023-03-27,Hell's Kitchen,Mar,10,58,246.10,Morning
2023-04-07,Lower Manhattan,Apr,7,48,246.05,Morning
2023-05-10,Astoria,May,7,54,246.00,Morning
2023-04-16,Astoria,Apr,8,48,245.90,Morning
2023-05-18,Astoria,May,8,53,245.65,Morning
2023-04-18,Hell's Kitchen,Apr,10,42,245.55,Morning
2023-06-08,Hell's Kitchen,Jun,10,57,245.40,Morning
2023-04-16,Hell's Kitchen,Apr,10,50,245.35,Morning
2023-06-25,Hell's Kitchen,Jun,8,49,245.15,Morning
2023-04-26,Lower Manhattan,Apr,6,36,244.70,Morning
2023-06-26,Hell's Kitchen,Jun,7,48,244.70,Morning
2023-06-23,Lower Manhattan,Jun,9,49,244.45,Morning
2023-06-19,Lower Manhattan,Jun,6,57,244.30,Morning
2023-05-31,Astoria,May,9,54,244.25,Morning
2023-05-19,Hell's Kitchen,May,8,56,244.00,Morning
2023-05-11,Hell's Kitchen,May,8,52,243.90,Morning
2023-04-15,Astoria,Apr,10,50,243.90,Morning
2023-06-15,Lower Manhattan,Jun,6,52,243.30,Morning
2023-06-25,Lower Manhattan,Jun,10,45,243.30,Morning
2023-01-09,Lower Manhattan,Jan,9,42,243.13,Morning
2023-03-12,Hell's Kitchen,Mar,9,41,242.95,Morning
2023-05-24,Hell's Kitchen,May,10,43,242.55,Morning
2023-04-21,Lower Manhattan,Apr,9,43,242.50,Morning
2023-06-09,Astoria,Jun,8,56,242.40,Morning
2023-03-24,Lower Manhattan,Mar,10,38,242.10,Morning
2023-05-15,Astoria,May,7,46,241.95,Morning
2023-06-02,Astoria,Jun,19,59,241.90,Evening
2023-05-11,Hell's Kitchen,May,7,48,241.20,Morning
2023-04-20,Hell's Kitchen,Apr,9,58,241.10,Morning
2023-06-23,Lower Manhattan,Jun,6,43,240.05,Morning
2023-02-21,Astoria,Feb,9,44,239.88,Morning
2023-06-23,Hell's Kitchen,Jun,11,33,239.80,Morning
2023-04-25,Lower Manhattan,Apr,8,36,239.75,Morning
2023-04-08,Hell's Kitchen,Apr,10,59,239.60,Morning
2023-05-22,Lower Manhattan,May,9,45,239.50,Morning
2023-03-16,Hell's Kitchen,Mar,10,48,239.45,Morning
2023-04-21,Hell's Kitchen,Apr,8,55,239.40,Morning
2023-05-10,Astoria,May,9,56,239.20,Morning
2023-04-27,Lower Manhattan,Apr,8,45,238.85,Morning
2023-05-24,Lower Manhattan,May,6,35,238.35,Morning
2023-05-14,Astoria,May,8,55,238.30,Morning
2023-05-09,Astoria,May,10,51,237.68,Morning
2023-06-18,Lower Manhattan,Jun,9,44,237.65,Morning
2023-05-12,Astoria,May,9,55,237.65,Morning
2023-03-27,Lower Manhattan,Mar,10,43,237.65,Morning
2023-05-11,Hell's Kitchen,May,11,42,237.58,Morning
2023-06-11,Lower Manhattan,Jun,6,60,237.15,Morning
2023-05-12,Lower Manhattan,May,10,57,237.05,Morning
2023-06-01,Astoria,Jun,18,51,236.70,Evening
2023-06-13,Astoria,Jun,10,55,236.10,Morning
2023-05-08,Hell's Kitchen,May,7,51,236.05,Morning
2023-04-10,Astoria,Apr,7,52,236.05,Morning
2023-04-12,Lower Manhattan,Apr,10,45,235.85,Morning
2023-03-15,Astoria,Mar,8,44,235.85,Morning
2023-04-26,Lower Manhattan,Apr,8,40,235.65,Morning
2023-03-19,Astoria,Mar,8,45,235.40,Morning
2023-05-10,Hell's Kitchen,May,10,53,235.40,Morning
2023-06-11,Astoria,Jun,10,52,235.00,Morning
2023-04-19,Hell's Kitchen,Apr,10,42,234.90,Morning
2023-06-10,Lower Manhattan,Jun,7,50,234.85,Morning
2023-06-19,Hell's Kitchen,Jun,6,47,234.83,Morning
2023-06-26,Hell's Kitchen,Jun,9,52,234.55,Morning
2023-04-16,Lower Manhattan,Apr,8,43,234.53,Morning
2023-06-17,Lower Manhattan,Jun,7,56,234.40,Morning
2023-03-17,Astoria,Mar,7,51,234.40,Morning
2023-06-18,Astoria,Jun,8,51,234.30,Morning
2023-06-09,Hell's Kitchen,Jun,7,57,234.30,Morning
2023-06-04,Astoria,Jun,17,55,234.20,Afternoon
2023-05-05,Astoria,May,12,52,234.10,Afternoon
2023-05-25,Hell's Kitchen,May,10,49,233.95,Morning
2023-04-15,Astoria,Apr,8,45,233.78,Morning
2023-06-22,Lower Manhattan,Jun,9,46,233.65,Morning
2023-06-24,Lower Manhattan,Jun,9,41,232.95,Morning
2023-04-18,Hell's Kitchen,Apr,7,51,232.85,Morning
2023-03-20,Hell's Kitchen,Mar,9,54,232.45,Morning
2023-01-18,Astoria,Jan,10,46,232.15,Morning
2023-03-08,Lower Manhattan,Mar,10,44,231.75,Morning
2023-05-01,Astoria,May,16,52,231.70,Afternoon
2023-06-09,Hell's Kitchen,Jun,8,50,231.45,Morning
2023-05-25,Lower Manhattan,May,7,43,231.40,Morning
2023-04-10,Astoria,Apr,9,51,231.25,Morning
2023-05-11,Lower Manhattan,May,8,47,231.10,Morning
2023-04-26,Lower Manhattan,Apr,9,43,231.05,Morning
2023-04-07,Hell's Kitchen,Apr,8,54,231.00,Morning
2023-05-22,Lower Manhattan,May,6,52,230.85,Morning
2023-01-20,Hell's Kitchen,Jan,8,46,230.70,Morning
2023-05-30,Hell's Kitchen,May,8,44,230.60,Morning
2023-06-27,Lower Manhattan,Jun,15,36,230.50,Afternoon
2023-06-03,Astoria,Jun,14,50,230.15,Afternoon
2023-06-08,Astoria,Jun,19,39,230.10,Evening
2023-04-19,Hell's Kitchen,Apr,7,51,229.95,Morning
2023-06-01,Astoria,Jun,16,55,229.60,Afternoon
2023-05-05,Astoria,May,16,50,229.60,Afternoon
2023-06-20,Lower Manhattan,Jun,9,47,229.40,Morning
2023-06-30,Lower Manhattan,Jun,8,49,229.30,Morning
2023-04-12,Hell's Kitchen,Apr,8,44,229.10,Morning
2023-01-21,Hell's Kitchen,Jan,10,52,229.05,Morning
2023-05-19,Lower Manhattan,May,6,56,228.95,Morning
2023-06-17,Lower Manhattan,Jun,10,48,228.45,Morning
2023-06-16,Lower Manhattan,Jun,10,48,228.35,Morning
2023-02-18,Hell's Kitchen,Feb,10,39,227.90,Morning
2023-05-15,Lower Manhattan,May,6,48,227.85,Morning
2023-06-16,Hell's Kitchen,Jun,9,53,227.75,Morning
2023-06-06,Astoria,Jun,15,53,227.75,Afternoon
2023-04-18,Hell's Kitchen,Apr,8,51,227.60,Morning
2023-01-15,Astoria,Jan,9,47,227.60,Morning
2023-05-03,Astoria,May,15,55,227.50,Afternoon
2023-04-14,Astoria,Apr,10,44,227.50,Morning
2023-06-12,Lower Manhattan,Jun,6,53,227.35,Morning
2023-04-16,Lower Manhattan,Apr,9,47,227.10,Morning
